fit,term,or,or_lo,or_hi,p
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.0]:C(age_group)[T.21-23]",1.022003780432419,0.9033581347411362,1.156232159814958,0.7295734845866881
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.1-25]:C(age_group)[T.21-23]",1.3116713223270895,1.0063856255539472,1.7095650157644957,0.044743942989087314
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.26-75]:C(age_group)[T.21-23]",0.9814034480032243,0.7597358030084287,1.2677469245738997,0.8857290747539337
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.76-125]:C(age_group)[T.21-23]",1.0332661539924861,0.8730390961697166,1.222899352011239,0.7034629018934158
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.150 (cap)]:C(age_group)[T.21-23]",1.3423124807226359,1.1076613925355068,1.626672923734677,0.002673499263902002
A_hours_x_age,is_no_show,1.0446168535836748,0.9327364738744388,1.1699171216691941,0.4501203130590282
A_hours_x_age,worksite_matched,0.8873937436505687,0.815599254945635,0.9655080623175176,0.00551307251975255
B_firstchoice_x_age,Intercept,0.8513875531058211,0.09546313542294584,7.593096145145968,0.885412395812132
B_firstchoice_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.0]",0.31401404629017227,0.15050526730843627,0.65515860694398,0.002022259397034285
B_firstchoice_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.1-25]",0.5220445059526899,0.24793275278378105,1.099211230204258,0.08708636544695837
B_firstchoice_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.26-75]",0.5812006360695706,0.38375856670485825,0.8802257686861354,0.010396201919667572
B_firstchoice_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.76-125]",0.874829207675515,0.7312695544545004,1.0465718666122696,0.143678709809211
B_firstchoice_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.150 (cap)]",1.0270488434286422,0.9059798266708802,1.1642967047778479,0.676637151927576
B_firstchoice_x_age,C(Year)[T.2023],0.9913967940653119,0.8257347629401827,1.19029456841964,0.9262047141216132
B_firstchoice_x_age,C(Year)[T.2024],1.0233698091485632,0.8628746454401992,1.213717162523056,0.7906867259852627
B_firstchoice_x_age,C(borough)[T.Brooklyn],1.1482066392118044,0.9029219825591575,1.4601244756422678,0.2596924613115794
B_firstchoice_x_age,C(borough)[T.Manhattan],1.0122382103152863,0.7635689358866613,1.3418908840660093,0.9326053837462498
B_firstchoice_x_age,C(borough)[T.Queens],1.001205737123708,0.7725815550175511,1.2974849341655008,0.9927305754577778
B_firstchoice_x_age,C(borough)[T.Staten Island],0.8482117671856755,0.6263244274964798,1.1487069167460984,0.28734606565506404
B_firstchoice_x_age,C(age_group)[T.18-20],0.7011900700294049,0.5032703453816402,0.9769451326105859,0.03592222436093422
B_firstchoice_x_age,C(age_group)[T.21-23],0.5347011734312989,0.3827771537987729,0.7469237440934346,0.00024166070381946122
B_firstchoice_x_age,is_no_show,1.4046845951153772,0.5119973209260569,3.853806907008042,0.509306794578101
B_firstchoice_x_age,worksite_matched,1.3847447969656967,0.1897100124825201,10.107627571318876,0.7482394591074117
B_firstchoice_x_age,expect_first_choice,1.2959096209252867,1.0540971138473278,1.593194520263108,0.01389589252185777
B_firstchoice_x_age,expect_first_choice:C(age_group)[T.18-20],0.9553032201581341,0.6519837369164158,1.3997346724639177,0.8145133126828459
B_firstchoice_x_age,expect_first_choice:C(age_group)[T.21-23],1.2121689181898276,0.8364038392365708,1.7567512453872192,0.3094660825945008
B_firstchoice_x_age,cf_paid_alternative,0.9327784853088653,0.8170617120914492,1.064883704350741,0.30314352507414366
B_firstchoice_x_age,cf_unpaid_activity,1.0728712276878838,0.9493695593772139,1.2124389915720462,0.259625996060333
B_firstchoice_x_age,cf_leisure_only,0.9053006403077019,0.7942074906346722,1.0319334166523606,0.1363870090130601
B_firstchoice_x_age,cf_no_plans,1.0544381573054418,0.8732136424042773,1.2732735422231758,0.5816895708600409
B_firstchoice_x_age,expect_app_clarity,0.9436759833419741,0.7780594298229058,1.1445454259697543,0.5560050594671568
B_firstchoice_x_age,expect_knew_what_to_expect,1.097189268212181,0.9727358747462685,1.2375654291500153,0.13105515577203114
B_firstchoice_x_age,benefit_career_clarity,1.0471459606546356,0.919333504441583,1.1927278377408417,0.4879180156072247
B_firstchoice_x_age,benefit_job_readiness,0.8466518532823817,0.7219202980567497,0.9929342097680467,0.04064176052853428
B_firstchoice_x_age,benefit_self_efficacy,1.0480793646414572,0.8773426633381246,1.2520425604378644,0.6047353941919222
B_firstchoice_x_age,benefit_mentor_relationship,1.003955606355756,0.8985371605838032,1.121741986584369,0.9443938271523866
B_firstchoice_x_age,benefit_money_management,1.043737053492345,0.8982057678447117,1.2128479640549616,0.5763442631115874
B_firstchoice_x_age,benefit_answered,2.230289733686124,1.2364974580939518,4.02280834758317,0.007690998210236169
